                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.3507,                 0.9435,                0.90955,                 0.4524,                0.34314,                0.34489,                 0.2007,                 1.3331,                 0.9606,                 0.9054,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.3504,                0.95004,                 0.9088,                0.44804,                0.34408,                0.34512,                0.20114,                 1.3312,                0.95975,                0.90481,               0.004852,               0.004852,               0.004852
                    106,                 1.3396,                0.93715,                0.90726,                0.44761,                0.34522,                0.34676,                 0.2014,                 1.3312,                0.95844,                0.90504,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.3523,                 0.9442,                0.90962,                0.44747,                0.34135,                0.34602,                0.20135,                  1.331,                0.95829,                0.90522,               0.004753,               0.004753,               0.004753
                    108,                 1.3458,                0.94312,                0.90808,                0.44506,                0.34311,                0.34496,                0.20154,                 1.3315,                0.95801,                 0.9055,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.3456,                0.93909,                0.90887,                0.45192,                0.34266,                0.34638,                0.20198,                  1.332,                0.95732,                0.90552,               0.004654,               0.004654,               0.004654
                    110,                 1.3503,                0.94166,                0.90964,                0.44857,                0.34398,                0.34569,                0.20144,                 1.3315,                0.95628,                0.90509,              0.0046045,              0.0046045,              0.0046045
                    111,                  1.339,                0.93221,                0.90448,                0.45608,                0.34031,                0.34545,                 0.2018,                 1.3304,                0.95567,                0.90473,               0.004555,               0.004555,               0.004555
                    112,                 1.3407,                0.93553,                0.90546,                0.45595,                0.34231,                0.34613,                0.20172,                 1.3296,                0.95497,                0.90438,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.3443,                0.93454,                0.90742,                  0.459,                0.34317,                0.34633,                0.20194,                 1.3301,                0.95439,                0.90442,               0.004456,               0.004456,               0.004456
                    114,                 1.3426,                0.93369,                0.90683,                0.45708,                 0.3432,                0.34676,                0.20226,                 1.3304,                0.95337,                 0.9047,              0.0044065,              0.0044065,              0.0044065
                    115,                  1.343,                0.93407,                0.90728,                0.45528,                0.34334,                0.34691,                0.20255,                 1.3305,                0.95238,                0.90487,               0.004357,               0.004357,               0.004357
                    116,                 1.3363,                0.92994,                0.90658,                0.45172,                 0.3454,                0.34722,                0.20254,                   1.33,                 0.9518,                0.90463,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.3325,                0.92821,                0.90689,                0.44818,                0.34748,                 0.3475,                0.20285,                   1.33,                0.95125,                0.90473,               0.004258,               0.004258,               0.004258
                    118,                 1.3352,                0.92929,                0.90516,                0.44941,                0.34596,                 0.3476,                0.20292,                 1.3293,                0.95129,                0.90487,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.3368,                0.92515,                0.90571,                0.44985,                0.34683,                0.34807,                0.20314,                 1.3286,                0.95083,                0.90441,               0.004159,               0.004159,               0.004159
                    120,                 1.3303,                0.92285,                0.90654,                0.45098,                0.34656,                 0.3481,                0.20283,                 1.3277,                0.95141,                0.90418,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.3382,                0.92565,                0.90563,                0.45268,                0.34628,                0.34812,                0.20322,                 1.3282,                0.95088,                0.90428,                0.00406,                0.00406,                0.00406
                    122,                 1.3286,                 0.9206,                0.90392,                0.45448,                0.34487,                0.34848,                0.20324,                  1.328,                0.95101,                0.90419,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.3305,                0.92345,                0.90334,                0.45537,                 0.3445,                0.34833,                0.20264,                 1.3283,                0.95217,                0.90422,               0.003961,               0.003961,               0.003961
                    124,                 1.3216,                0.91566,                0.90468,                0.45604,                0.34469,                0.34831,                 0.2032,                  1.328,                0.95239,                0.90401,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.3335,                0.91839,                0.90352,                0.45476,                0.34474,                0.34767,                0.20295,                 1.3279,                0.95237,                0.90405,               0.003862,               0.003862,               0.003862
                    126,                 1.3278,                0.91849,                0.90444,                0.45405,                0.34681,                 0.3485,                0.20305,                  1.328,                0.95258,                 0.9038,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.3238,                0.91839,                0.90469,                0.44956,                0.34999,                 0.3489,                0.20313,                 1.3272,                0.95232,                0.90386,               0.003763,               0.003763,               0.003763
                    128,                 1.3299,                0.91882,                0.90413,                0.45183,                0.34882,                0.34921,                0.20335,                 1.3276,                0.95203,                 0.9042,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.3201,                0.91402,                0.90402,                0.45508,                 0.3477,                0.34938,                0.20354,                 1.3272,                0.95168,                0.90426,               0.003664,               0.003664,               0.003664
                    130,                 1.3291,                 0.9178,                0.90407,                0.45492,                0.34726,                0.34989,                0.20351,                 1.3268,                0.95166,                 0.9042,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.3246,                0.91393,                0.90395,                0.45319,                0.34716,                0.34993,                 0.2035,                 1.3264,                0.95143,                0.90402,               0.003565,               0.003565,               0.003565
                    132,                 1.3218,                0.90977,                0.90458,                0.45472,                0.34859,                0.34947,                0.20298,                 1.3267,                0.95155,                0.90405,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.3296,                0.91953,                0.90484,                0.45586,                0.34731,                0.35008,                0.20352,                 1.3267,                0.95066,                0.90396,               0.003466,               0.003466,               0.003466
                    134,                 1.3248,                0.91168,                 0.9023,                0.45522,                0.34826,                0.35023,                0.20371,                 1.3265,                0.95106,                0.90388,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.3198,                0.90821,                0.90182,                0.45663,                0.34778,                0.35017,                0.20388,                 1.3263,                0.95066,                0.90381,               0.003367,               0.003367,               0.003367
                    136,                 1.3199,                 0.9091,                0.90168,                0.45787,                0.34746,                0.35027,                0.20392,                 1.3262,                0.95046,                0.90387,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.3173,                0.90709,                0.90098,                0.45892,                0.34596,                0.35007,                0.20382,                 1.3261,                0.95022,                0.90388,               0.003268,               0.003268,               0.003268
                    138,                 1.3213,                0.90595,                0.90238,                 0.4541,                0.34716,                0.34994,                0.20365,                 1.3262,                0.94972,                0.90386,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.3126,                0.90518,                0.90224,                0.45764,                0.34587,                0.34999,                0.20393,                 1.3261,                0.94971,                0.90371,               0.003169,               0.003169,               0.003169
                    140,                 1.3189,                0.90601,                0.90143,                0.45722,                0.34659,                0.35007,                0.20391,                 1.3262,                 0.9494,                0.90378,              0.0031195,              0.0031195,              0.0031195
                    141,                  1.318,                0.90205,                0.90163,                 0.4563,                0.34905,                0.34998,                0.20379,                 1.3262,                 0.9493,                0.90366,                0.00307,                0.00307,                0.00307
                    142,                  1.313,                0.90156,                 0.9011,                0.45809,                 0.3491,                0.35021,                0.20375,                 1.3264,                0.94938,                0.90369,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.3073,                0.89757,                0.89968,                0.45785,                0.34978,                 0.3506,                0.20394,                 1.3259,                0.94905,                0.90352,               0.002971,               0.002971,               0.002971
                    144,                 1.3152,                0.90035,                0.90118,                0.46115,                0.34842,                0.35059,                0.20397,                  1.326,                0.94924,                0.90343,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.3156,                0.90001,                0.90031,                0.45872,                0.34921,                0.35069,                0.20399,                  1.326,                 0.9488,                0.90335,               0.002872,               0.002872,               0.002872
                    146,                 1.3103,                0.89927,                0.90096,                0.46132,                0.34656,                0.35036,                0.20389,                 1.3255,                0.94913,                0.90321,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.3086,                0.89637,                0.90102,                 0.4635,                0.34684,                0.35049,                0.20402,                 1.3254,                0.94889,                0.90316,               0.002773,               0.002773,               0.002773
                    148,                 1.3148,                0.89945,                0.90051,                0.46317,                0.34727,                0.35094,                0.20417,                 1.3251,                0.94877,                 0.9031,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.3052,                0.88668,                0.90037,                0.46218,                0.34666,                 0.3508,                0.20404,                 1.3252,                 0.9489,                0.90312,               0.002674,               0.002674,               0.002674
                    150,                 1.3133,                0.89488,                0.90169,                0.46536,                0.34624,                0.35113,                0.20405,                 1.3253,                0.94861,                0.90311,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.3123,                0.89309,                  0.899,                0.46317,                0.34637,                0.35096,                0.20417,                 1.3253,                 0.9486,                0.90297,               0.002575,               0.002575,               0.002575
                    152,                 1.3086,                0.88998,                0.89935,                0.45842,                0.34762,                0.35072,                0.20396,                 1.3251,                  0.948,                0.90291,              0.0025255,              0.0025255,              0.0025255
